epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.588,1.53382,3.06908,1.30958,0.00349,0.95789,0.68301,0.35648,1.28762,3.52922,1.14849,0.00042,0.00042,0.00042
2,228.959,1.47203,2.00882,1.21399,1,0.02089,0.53722,0.2567,1.46935,3.61589,1.32359,0.00081743,0.00081743,0.00081743
3,342.977,1.47788,1.81524,1.21099,0.66478,0.17895,0.25562,0.11749,1.4506,3.4379,1.39907,0.0011713,0.0011713,0.0011713
4,466.284,1.45829,1.67735,1.21811,0.7487,0.6586,0.75227,0.39499,1.50794,2.36852,1.39554,0.00148161,0.00148161,0.00148161
5,579.818,1.49343,1.63853,1.27213,0.73641,0.6764,0.66854,0.37818,1.51511,2.30104,1.42949,0.001604,0.001604,0.001604
6,693.593,1.47323,1.48586,1.26214,0.52123,0.46988,0.47603,0.23674,1.50541,2.61203,1.43096,0.001505,0.001505,0.001505
7,806.732,1.4461,1.35608,1.2416,0.86326,0.71579,0.81884,0.46236,1.40858,1.88065,1.347,0.001406,0.001406,0.001406
8,919.468,1.49347,1.34919,1.24816,0.78305,0.75986,0.81895,0.46783,1.32138,1.65414,1.22903,0.001307,0.001307,0.001307
9,1032.59,1.37634,1.22294,1.20605,0.81495,0.84211,0.87478,0.52136,1.36248,1.29468,1.2839,0.001208,0.001208,0.001208
10,1146.07,1.31951,1.16322,1.18811,0.91855,0.77895,0.88559,0.51614,1.41549,1.27484,1.28782,0.001109,0.001109,0.001109
11,1258.74,1.38799,1.31859,1.21769,0.86074,0.81053,0.8889,0.537,1.31932,1.2257,1.27019,0.00101,0.00101,0.00101
12,1371.74,1.38114,1.23719,1.2178,0.86256,0.82105,0.86335,0.50475,1.3849,1.26331,1.27763,0.000911,0.000911,0.000911
13,1484.74,1.32163,1.14867,1.18419,0.83599,0.82105,0.84188,0.47408,1.37938,1.25289,1.2486,0.000812,0.000812,0.000812
14,1597.79,1.30836,1.12404,1.18738,0.84023,0.83036,0.90361,0.54895,1.37466,1.13812,1.25786,0.000713,0.000713,0.000713
15,1710.71,1.33731,1.07011,1.20098,0.9109,0.85263,0.8943,0.54157,1.34522,1.16048,1.23057,0.000614,0.000614,0.000614
16,1823.52,1.25738,0.99759,1.14664,0.8879,0.88421,0.92576,0.56923,1.2729,0.94714,1.19976,0.000515,0.000515,0.000515
17,1936.13,1.26275,0.95576,1.17952,0.92775,0.87368,0.9211,0.55315,1.26112,0.92576,1.20853,0.000416,0.000416,0.000416
18,2050.78,1.23854,0.92903,1.13317,0.92329,0.86316,0.93056,0.54132,1.28724,0.90385,1.20508,0.000317,0.000317,0.000317
19,2164.73,1.13752,0.86321,1.10204,0.93395,0.89311,0.93926,0.55888,1.32051,0.87575,1.21283,0.000218,0.000218,0.000218
20,2277.34,1.19619,0.85629,1.11824,0.93113,0.89474,0.93637,0.56024,1.29018,0.87176,1.21273,0.000119,0.000119,0.000119
